'1274386869829197826','don t let our PM see this in case he thinks it s a challenge for him to try to beat it','','','Neutral'
'1274387731590807552','Fuck you It upsets me because I Fu kin know that Covid 19 can kill I','Planet Earth. Western NY','','Negative'
'1274387731838193664','Why did you jeopardize many thousands of people by holding a rally in Tulsa when you know and we know the world','Near Vancouver, British Columbia','','Positive'
'1274387732119207937','Being busy is important be it the MIND or the BODY My new home gym setup is my happy place during the lockdown','Thoothukkudi, India','','Positive'
'1274387732094124040','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','','','Negative'
'1274387732203278336','Just spoke to patient who called 119 for covid test as no internet due to being elderly and never had a computer Told c','Disintegrating Kingdom','','Negative'
'1274387732329107459','WHO chief declares new and dangerous phase of pandemic via','','','Negative'
'1274387732408807424','PEOPLE ARE DYING OF WHITENESS BELIEVING YOU RE SUPERIOR IS KILLING YOU The GOP is making the lives of its own suppo','Maine, USA','','Positive'
'1274387732425572352','You d think the libs would love all of those white supremacists to get together and catch covid Hmm','Texas','','Positive'
'1274387732404428801','Milano Trump knows exactly what he s doing This rally will inflict pain amp division when we should be celebrating liberation H','Washington, USA','','Positive'
'1274387732408614913','Listen Bollywood s Familyfare She s not doing anything extraordinary I have raised awaren','Bhopal, India','','Positive'
'1274387732366872576','The whole article doesn t mention the reason Edinburgh is currently quiet and closed Not even','','','Positive'
'1274387732341518336','IDAHO COVID 19 UPDATE 100 3 Days In A Row If people aren t vigilant amp businesse','Boise, ID USA','','Neutral'
'1274387732538654721','It s a virtual cornucopia of stupid','','','Negative'
'1274387732521984006','Acevedo The Governor of Florida calling essential workers sardines and blaming them for the spike in cases in his state is','','','Neutral'
'1274387732698034176','We re months into this pandemic and still don t have proper testing PPE or clear nationwide guidance Instead Donald Trump','','','Positive'
'1274387731821535235','Care This was not my question Did you go for below attached place in Covid 19 situation Did your docto','Ghaziabad, India','','Neutral'
'1274387732681363457','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Planet God Damn','','Neutral'
'1274387732828061697','At the Trump rally Brian Clothier 61 is wearing an adult diaper over his pants that reads Scientists say farts spre','','','Positive'
'1274387732983242757','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','arizona','','Neutral'
'1274387733222391809','Think Covid','Sawbridgeworth, East','','Neutral'
'1274387733205651456','On March 23rd the day BorisJohnson announced the Lockdown in the UK there were 967 new confirmed cases of Covid19','','','Positive'
'1274387733092261888','quick reminder that Berman was not an Obama holdover he was a Trump donor who was handpicked and installed in 2018 a','','','Positive'
'1274387733046349824','Ortega Hey pals if you can give for a Latinx teen who needs a laptop for college it would be super appreciated','Toronto, Ontario','','Positive'
'1274387733352513536','Grand juries are resuming after the COVID hiatus Something caused Barr to fear Berman continuing in his r','Houston, Texas','','Positive'
'1274387733360914434','Is COVID 19 magnifying colonial attitudes in global health','Leeds, England','','Neutral'
'1274387733553840128','WEAR A FUCKING MASK','','','Negative'
'1274387733293776897','Florida records over 4 000 new cases of COVID 19 in one day','Hyrule/London, England','','Positive'
'1274387733637718016','USA Lebanon Maryam is 90 yrs old and agreed to practice shielding She has diabetes amp hypertension putting her at higher risk','','','Positive'
'1274387733771890690','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','Keller, TX','','Negative'
'1274387735000694786','Govt has put out a strong advisory to citizens warning them of a potential cyber offensive from Chinese Army In the guise','','','Positive'
'1274387734908583937','Y all this ain t normal Trust science not a rich prick who cares more about an election than if you live or die','Fountain Hill, PA','','Positive'
'1274387734992424960','Bring back lockdown Arsenallivesmatter','Kumasi, Ghana','','Neutral'
'1274387734984036354','I m openly looking forward to the infection numbers that come from this rally What I feel bad about is them not e','','','Negative'
'1274387735244128262','lov LAHORE Punjab government on Monday announced the Annual Development Programme ADP worth Rs337 billion up by 9 42 per cent','','','Positive'
'1274387735290183681','If Trump felt comfortable having it here then I m comfortable said one supporter of the president Another said of the','Chicago, IL','','Positive'
'1274387735055413249','Your father is in the advanced stages of Alzheimer s You must remember what that looks like watching yo','Louisiana, USA','','Positive'
'1274387735399116806','Brazil passes 1 million coronavirus cases with no end in sight','','','Neutral'
'1274387735545933824','NEW India reports 546 new coronavirus cases in Telangana state total at 7 072 Telangana s largest daily increase so','Mumbai, India','','Positive'
'1274387735546126336','Trump rallygoer sans mask We had a friend who died from Covid and his son was on a ventilator he almost died So we know','United States','','Neutral'
'1274387735818665985','We fucked','West Palm Beach, FL ','','Negative'
'1274387735986483201','As we go through the pandemic I hope that the plight of the Waspiwomen is not forgotten or ignored It s many of thes','England','','Positive'
'1274387736129163264','While the world was shutting down in the wake of the onset of Covid those seen as outsiders such as Asian Americans in','Manila','','Negative'
'1274387735797784579','Also I don t see how it s news If black lives matter protest wasn t a threat to covid19 pandemic spike now t','Usa','','Negative'
'1274387736711970817','Delighted to announce that my article on COVID 19 exposing American exceptionalism as a fraud has been published in the jou','','','Positive'
'1274387736619859968','M O A Logo T Shirt 23 99 Shop Now Link in Bio Due to COVID 19 Shipping can take up to 2 6 week','Houston, TX','{''id'': ''1c69a67ad480e1b1'', ''url'': ''https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json'', ''place_type'': ''city'', ''name'': ''Houston'', ''full_name'': ''Houston, TX'', ''country_code'': ''US'', ''country'': ''United States'', ''bounding_box'': {''type'': ''Polygon'', ''coordinates'': [[[-95.823268, 29.522325], [-95.823268, 30.154665], [-95.069705, 30.154665], [-95.069705, 29.522325]]]}, ''attributes'': {}}','Negative'
'1274387736791855106','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','','','Negative'
'1274387736762474497','With the spread of the coronavirus the education system is facing a new crisis as more than 160 countries as of','Offices in the US, UK & China','','Positive'
'1274387736921878529','1 2 The Education Union of South Africa EUSA has called for an independent forensic investigation into alleged looting of','https://www.amazon.com/hz/wish','','Negative'
'1274387737248796678','JUST IN Brazil reports over 54 000 new coronavirus cases the highest daily increase of any country since the pandemic','Hong Kong','','Positive'
'1274387737244602373','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','Somewhere in California','','Negative'
'1274387737299365894','NEW India reports 546 new coronavirus cases in Telangana state total at 7 072 Telangana s largest daily increase so','Nigeria','','Positive'
'1274387737320329216','lander Roy Moore Jr won t be in Tulsa for Trump s rally cause of COVID 19 now if it was COVID 14','Flavortown, OH USA','','Neutral'
'1274387737395843072','Choirs reimagine themselves as singing proves an effective way to spread COVID 19','','','Positive'
'1274387737467109377','Why Temperature Screening for COVID 19 Alone is Not Enough','','','Neutral'
'1274387737487962112','did teachers amp nurses get a bonus as thanks to their hard work during COVID','Tucson, AZ','','Negative'
'1274387737949298688','Australia s 2nd most populous state just reinstated tighter restrictions after coronavirus cases rose for a 4th stra','','','Positive'
'1274387737999802369','I get having significantly fewer polling places due to COVID but only 1 for the state s largest county Even if','Chicago, IL','','Positive'
'1274387738045923330','Well I need to see better facts about Brooks past record I m on the side of the police by default AND if Brook','Poughkeepsie, NY(poke-ip-see)','','Positive'
'1274387738322702341','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','South Africa','','Neutral'
'1274387738125623296','The dynamite student journalists at news have been publishing despite the pandemic Check out this story from','Madison, WI','','Neutral'
'1274387739245375488','Dharavi COVID cases drop to single digits for the first time in months Only 7 new cases today Total numbers in Dharavi s','Bengaluru, India','','Positive'
'1274387739341807616','Seattle Healthcare Worker Indicted for Stealing and Selling Ventilators COVID Supplies on eBay The Last Refuge h','Nowhere','','Neutral'
'1274387739526356992','to WIN Have you been stressing over special occasion gift shopping recently with the added challenge of lockdown','Dhuri, India','','Positive'
'1274387739706875906','This is America Not content to sabotage Cuba s domestic health sector president Trump has been attacking Cuba s int','','','Neutral'
'1274387740063174656','31 630 new cases of COVID19 reported yesterday in the US The pandemic is reaching daily records of new cases in places like','Beverly Hills, CA','','Positive'
'1274387740692484103','ANOTHER RECORD COVID19 update from this morning reports 4 049 new positive cases of coronavirus in Florid','VCU Alumna','','Positive'
'1274387740654628866','Milano Trump knows exactly what he s doing This rally will inflict pain amp division when we should be celebrating liberation H','','','Positive'
'1274387740780445697','BREAKING DOH reports 943 new COVID 19 cases 578 Fresh 365 Late 20 new deaths and 272 new recoveries This brings the t','binan,laguna','','Positive'
'1274387740214386688','BIFERD DR Congo North Kivu is building resilience and livelihood by giving loans to vulnerable women during','','','Negative'
'1274387740843360260','harry ISTANDWITHTRUDEAU Since Oct Canada has had one crisis after another NFLD Snowstorm Railway blockades Covid 19 Wo','Canada','','Neutral'
'1274387740826775554','1000 CALLS to hedge though','','','Neutral'
'1274387741120348162','What the hell is happening with COVID 19 in the states they appear to be just letting it run rampant','North West, England','','Neutral'
'1274387741275566081','Press Statement Government announces that the partial lockdown aimed at containing the spread of COVID19 remains in','Kempton','','Negative'
'1274387741384404994','The number of Covid cases related to sports in just the past few days is quite staggering Baseball football basketball','Victoria bc','','Negative'
'1274387741330026496','During the COVID 19 outbreak BAM furloughed or laid off over 85 of its workforce and has reduced the pay and hour','Brooklyn, NY','','Neutral'
'1274387741455855617','I will be removing my car s brakes You have the freedom to keep driving with brakes in your car if you want Preventi','New York, USA','','Neutral'
'1274387741682200576','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','Santa Monica','','Neutral'
'1274387741724282881','Trump Desantis Blood on their hands Yes reopening the economy may kill you','Everywhere.','','Neutral'
'1274387741887696898','mande An interesting point of view there are some contentious issues but nonetheless an interesting read for the weekend Mu','Pindwara, Rajasthan, India','','Positive'
'1274387741829144576','At this point all I can say to folks like this is go with God','DFW, TX','','Neutral'
'1274387742009556993','Again I m struck by the inconsistencies of lockdown','Alabama','','Negative'
'1274387742147989505','BreakingNews KRG health ministry records 266 new COVID 19 as well as nine deaths in the last 24 hours statement','Iraq','','Positive'
'1274387742126989316','People can donate directly to support former and current BAM staff including teaching artists seasonal employees','Brooklyn, NY','','Positive'
'1274387742269595654','Our live lunchtime talks have covered everything from homeless lockdown diaries to afrofuturism to playful curation we v','London','','Positive'
'1274387742324072448','Al Sharpton is in Tulsa and just spoke I thought the left was worried about the CoronaVirus Which is it','Earth, Sol System','','Neutral'
'1274387742303150080','Hello all I am now okay Thank you for the support Remember the focus is not on me amp vongai getting arrested It','Harare, Zimbabwe','','Positive'
'1274387742361817089','NEW latest Sage minutes reveal that scientists think reopening all schools will have a large effect on the epidemic','Coalpit Heath, South Gloucestershire, England','','Positive'
'1274387742453936129','thats crazy America the only country refusing to wear masks and has the 1 Covid Cases but theyll just said we re misinformed','The Vøid Manor // Sirius A','','Negative'
'1274387742525358083','I can t believe people are still arguing about wearing masks My mother died of COVID last Sunday My father is going to fo','In my thoughts','','Neutral'
'1274387742579818496','Brain has lost his mother to covid and his father may soon go too WEAR YOUR FUCKING MASKS There is nothing pol','','','Negative'
'1274387742839930881','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','','','Negative'
'1274387742777126914','Don t be naive about covid s look at the whole picture Look at number of people tested each month Everything re','Texas, USA','','Negative'
'1274387742856810496','And this is what s making a mockery of the rules it s ok for people to all congregate on busy roads with takeaway beer BUT','','','Positive'
'1274387742974021637','MV COVID 19 Case Updates As of 06 00 PM Confirmed an additional 37 cases of COVID 19 infections in Maldives 19 Maldivians','Maldives','','Positive'
'1274387742932303876','Data shows that Black and brown communities are being hit hardest by COVID 19 Because of this we are prioritizing','Brooklyn, NY','','Negative'
'1274387743100067840','Govt has put out a strong advisory to citizens warning them of a potential cyber offensive from Chinese Army In the guise','New Delhi, India','','Positive'
'1274387743603191809','Tee Two issues 1 You are sick with Covid without knowing it 2','Anchorage','','Negative'
'1274387743678902272','The benefits of this are twofold You get to own the libs and pay tribute to Ronald Reagan','','','Positive'
'1274387743876005888','A little wake up call for all of you not wearing masks My cousin checked into the hospital Tuesday morning for body a','NC','','Negative'
'1274387743842471936','cinnamonro11 if you can t afford to tip AT LEAST 20 during a fucking PANDEMIC you cannot afford to be eating out servers are risk','The Cosmos','','Negative'
'1274387743922102272','COVID keeps fluids up','Doncaster, England','','Neutral'
'1274387743976460288','Mumbai pls guide and help one of my close friends has Covid and is admitted in Lilavati and needs Remdesivir urgently Ho','Mumbai','','Neutral'
'1274387743989100545','This graphic is stunning Here is the wider story','California, USA','','Positive'
'1274387744085684227','1 new case of COVID 19 has been reported in New Brunswick The case is linked to an outbreak at a long term care home in the','Where four worlds meet','','Positive'
'1274387743737610242','Avoid generic one liners being fake amp being opportunistic or even seeming to be in your storytelling amp company c','Greater Seattle Area','','Negative'
'1274387744542920710','First AAU event since COVID Looks like too many kids spent the break working on euro steps step backs and jelly finishe','http://www.roww.org','','Positive'
'1274387744576245761','sahab need help again','bharat ','','Neutral'
'1274387744622612480','Fernando Gaviria Colombian cyclist was hospitalised in UAE but not a severe case','London','','Neutral'
'1274387744962338817','What about all the criminals being arrested Is this not clogging up the justice system and causing overcr','','','Neutral'
'1274387745117331456','Siskind The WHO warns The pandemic is accelerating More than a 150 000 new cases of COVID 19 were reported on Thursday the mo','','','Positive'
'1274387744832270336','hometasking1to20 Our task compilation edited by 2 teenagers My fave part we shared genuine laughter wit','South East, England','','Positive'
'1274387744953978880','Milano His inability to care about anyone Like YOU cared about We are tired of YOU a','USA','','Negative'
